0,C- ,0,2,4,5,7,9,b
0,C-m,0,2,3,5,7,8,a
0,C#m,1,3,4,6,8,9,b
1,D- ,1,2,4,6,7,9,b
1,D-m,0,2,4,5,7,9,a
1,Db ,0,1,3,5,6,8,a
1,D#m,1,3,5,6,8,a,b
2,E- ,1,3,4,6,8,9,b
2,E-m,0,2,4,6,7,9,b
2,Eb ,0,2,3,5,7,8,a
3,F- ,0,2,4,5,7,9,a
3,F-m,0,1,3,5,7,8,a
3,F# ,1,3,5,6,8,a,b
3,F#m,1,2,4,6,8,9,b
4,G- ,0,2,4,6,7,9,b
4,G-m,0,2,3,5,7,9,a
4,G#m,1,3,4,6,8,a,b
5,A- ,1,2,4,6,8,9,b
5,A-m,0,2,4,5,7,9,b
5,Ab ,0,1,3,5,7,8,a
6,B- ,1,3,4,6,8,a,b
6,B-m,1,2,4,6,7,9,b
6,Bb ,0,2,3,5,7,9,a
6,Bbm,0,1,3,5,6,8,a
